WEEK,tot_sales,tot_Profit,FULLCUST,tot_sales_change,tot_Profit_change,Cus_Change,NSALE1,NSALE2,NSALE3,NSALE4,NSALE5,NSALE6,NSALE7,Price1,Price1,Price3,Price4,Price5,Price6,Price7
41,72547.13396,19145.31451,1936070,1877.960573,3708.892799,-52686,0.767145432,0.693742642,0,0,0,0,0,0.77959682,0.844910711,1.771896378,0.897613332,1.39,3.395528344,0.803818097
42,51250.87288,13964.13847,2280015,-21296.26109,-5181.176036,343945,0.765512585,0.308796795,0,0,0,0,0,0.779592825,0.845300644,1.77210868,0.898223111,1.39,3.394739206,0.807516425
43,89173.72967,15084.28926,1923100,37922.85679,1120.150783,-356915,0,1,0,0.232995645,1,1,0,0.90738463,0.843003268,1.772515301,0.59,1.39,3.265599725,0.803147732
44,51938.03338,15647.95694,1903706,-37235.69629,563.667683,-19394,0,0.308341846,0,0,0,1,0,0.911805478,0.845376721,1.772087058,0.898327058,1.502928219,3.26475854,0.74158985
45,57744.34956,14754.25,1957019,5806.316179,-893.7069359,53313,0.231965015,0.306120492,0,0,0,0,0,0.779068522,0.847165958,1.77241496,0.89990208,1.503223211,3.264733343,0.743205727
46,51842.53612,13032.88987,1928595,-5901.813438,-1721.360136,-28424,0,0.692459513,0,0,0,1,0,0.778980263,0.846813163,1.772773439,0.899650915,1.503348565,3.26480045,0.685874952
47,49245.79147,12905.10721,1927308,-2596.74465,-127.7826594,-1287,0,0.695525035,0,0,0,1,0,0.778880772,0.843866142,1.767582765,0.894768561,1.499752448,3.257985133,0.685685388
48,48728.9785,10363.63518,1857573,-516.8129704,-2541.472027,-69735,0.769144765,0,0.224691394,0,0,0,0,0.665058037,0.889966209,1.611955301,0.896955678,1.501798919,3.39248965,0.685799052
49,62952.0123,14326.57193,1941010,14223.0338,3962.936747,83437,0.765053711,1,0.77599283,0,0,0,0,0.665687712,0.778785179,1.61153895,0.898288757,1.500918057,3.190000001,0.808564057
50,74102.40088,16497.53971,1946640,11150.38858,2170.96778,5630,1,0,1,0.767863394,1,1,0,0.663492023,0.888213096,1.612255263,0.69,1.29,3.190000001,0.806239902
51,88626.73695,15297.61496,2048424,14524.33606,-1199.924749,101784,1,0,1,1,1,0,0,0.69,0.894390335,1.612090919,0.69,1.29,3.190000001,0.8148088
52,66725.57662,11336.85651,1821132,-21901.16032,-3960.758445,-227292,0.765547061,0.308449923,0.770244471,0.232731528,1,1,0,0.91357398,0.666666667,1.611207436,0.69,1.29,3.190000001,0.811275994
53,52287.78109,12301.02884,1866621,-14437.79554,964.1723275,45489,0,1,0,0,0,0,0.641838625,0.913412731,0.666666667,1.771006144,0.899008603,1.501900718,3.39255458,0.682654549
54,317945.2982,90866.15834,1916256,265657.5171,78565.1295,49635,0.233346817,1,0,0,0,0,0.352594543,0.778896466,0.666666667,1.771213798,0.900968106,1.502169939,3.391886065,0.686073531
55,44523.77265,12061.53835,2033433,-273421.5255,-78804.61998,117177,0.767386841,1,0,0,1,0,0,0.779416992,0.666666667,1.77042266,0.903849207,1.371068207,3.392322415,0.815010066
56,45077.16156,14674.08946,1878402,553.3889164,2612.551106,-155031,0,0,0,0.23184587,1,0,0,0.914423899,0.89120896,1.769519725,0.779039113,1.370681845,3.388200783,0.811844268
57,53198.2881,17862.31468,1884862,8121.126536,3188.225223,6460,0,0,0.258235867,0.232865264,0,0,0,0.914916371,0.893548486,1.69,0.779015696,1.371966305,3.395283501,0.814598449
58,71677.64162,16328.63181,1908455,18479.35352,-1533.682878,23593,1,0.591103785,1,0,1,0,0,0.687161052,0.720901628,1.69,0.779136116,1.371244751,3.393688127,0.811095239
59,49968.03424,11776.40525,1999585,-21709.60738,-4552.226552,91130,0.233928465,0.303817887,0.851143058,0,0,0,0.359598348,0.69,0.721503906,1.69,0.902041751,1.502971833,3.393666838,0.684864315
60,55746.28965,13747.01203,1829677,5778.255406,1970.606781,-169908,0.766799585,1,0.13949396,0,1,0,0,0.69,0.71887904,1.69,0.901342204,1.39,3.394596185,0.813708786
61,37858.85755,11329.41751,1740329,-17887.4321,-2417.594521,-89348,0,0.6906068,0,0,1,0,0,0.916476062,0.724719012,1.738467469,0.903704836,1.39,3.40270182,0.815823709
62,37244.47939,12662.23858,2377478,-614.3781593,1332.821069,637149,0,0,0,0,1,0,0,0.912980156,0.892261462,1.733221253,0.900749118,1.39,3.400136664,0.812617346
63,29895.87327,9983.063287,1686361,-7348.606121,-2679.175296,-691117,0,0,0,0,0,0,0,0.915058045,0.894144619,1.756009858,0.90262583,1.39,3.401881636,0.814365289
64,45356.57836,14657.37403,2069503,15460.7051,4674.310746,383142,0,0,0,0,0,0,0,0.898685246,0.893623795,1.739081719,0.902213447,1.39,3.40443154,0.813864895
65,35570.24318,11776.82853,1997131,-9786.335186,-2880.545506,-72372,0,0,0,0,1,0,0,0.898586202,0.893540492,1.739572734,0.902153213,1.39,3.395845382,0.813670898
66,36520.67802,12097.6625,2136640,950.4348467,320.8339753,139509,0,0,0,0,1,0,0,0.899461339,0.894485787,1.743364999,0.902926611,1.39,3.364779293,0.809846939
67,26593.50193,8822.59923,2065704,-9927.176093,-3275.063273,-70936,0,0,0,0,0,0,0,0.897206637,0.892546732,1.789057185,0.900977274,1.39,3.34940092,0.807202911
68,29858.77525,9209.135186,1903647,3265.273319,386.5359564,-162057,0,0,0,0,1,0,0,0.901145152,0.896372051,1.744921523,0.905244738,1.39,3.339396804,0.794409038
69,42352.25326,12856.82755,2026257,12493.47801,3647.692359,122610,0,0,0,0,1,0,0.628538156,0.897966599,0.893190153,1.774632242,0.901988584,1.39,3.34082274,0.790485032
70,37968.93925,12236.35252,1827170,-4383.314012,-620.4750293,-199087,0,0,0,0,0,0,0,0.898883478,0.893758634,1.784595525,0.901835838,1.50813723,3.36958421,0.794096967
71,52445.6443,13739.83731,1893600,14476.70505,1503.48479,66430,0.23319801,0.279561775,0,0,0,0,0,0.779001228,0.793215094,1.741209389,0.902537447,1.506067239,3.353160369,0.7951406
72,84712.07089,5286.965022,1828941,32266.42658,-8452.872283,-64659,0.766876741,0.896824463,0,0,0,0,0,0.59,0.792722359,1.775646623,0.902144828,1.50644598,3.364679206,0.802161257
73,40342.53407,12172.16348,2139977,-44369.53681,6885.198457,311036,0,0.276589391,0,0,0,0,0,0.899009703,0.793166983,1.710000001,0.902542148,1.505864696,3.329217905,0.800547845
74,212920.6296,80822.36356,1856575,172578.0956,68650.20008,-283402,0.232297742,0.089888033,0,0,1,0,0,0.4349303,0.894485787,1.710000001,0.902926611,1.39,3.396506764,0.801045664
75,67604.14944,20520.98257,1824347,-145316.4802,-60301.38099,-32228,1,0,0,0,0,0,1,0.902641563,0.898329789,1.785986454,0.906733151,1.39,3.412890554,0.49
76,205960.5336,179345.8465,1841546,138356.3841,158824.8639,17199,0,0.35685616,0,0,1,0,0,0.90115592,0.29,1.782892494,0.904109072,1.39,3.407572541,0.800395671
77,115758.3453,13307.18723,1979772,-90202.18833,-166038.6593,138226,0,0,0,0.768636698,1,0,0,0.90115592,0.895749836,1.780120538,0.59,1.39,3.409939482,0.798609697
78,37555.60259,11509.64901,1739408,-78202.74266,-1797.538214,-240364,0,0,0,0,0,0,0,0.899065046,0.893993397,1.778829113,0.90256006,1.506122058,3.407704907,0.796441575
79,59159.45512,11070.25537,2079329,21603.85252,-439.3936459,339921,0.230527967,1,0,0,0,0,0,0.905113155,0.661165099,1.781195918,0.908469043,1.508012047,3.413328306,0.800826006
80,54242.68109,9658.961156,1949407,-4916.774022,-1411.294211,-129922,1,0.785778915,0,0,0,0,0,0.686373389,0.666666667,1.777212337,0.899601376,1.50467881,3.412178877,0.794073567
81,45689.36707,10770.6263,2081038,-8553.314021,1111.665146,131631,0.767391133,0,1,0.231467057,0,0,0,0.69,0.892145561,1.59,0.902596717,1.506024248,3.413665293,0.796533989
82,40325.79051,12036.7523,1879900,-5363.576559,1266.125995,-201138,0,0.081045495,1,0,0,0,0,0.901915185,0.902176687,1.59,0.823901489,1.490481768,3.412359734,0.798839043
83,42538.28868,12364.50756,1949700,2212.498172,327.7552624,69800,0.769637749,0,0,0,0,0,0.582407789,0.903041043,0.914044161,1.775868917,0.825792245,1.505684979,3.412362054,0.720233587
84,49612.29573,13544.25663,1984531,7074.007046,1179.74907,34831,0,0,0,0.231467057,0,0,0.736289885,0.903902208,0.914439594,1.776280258,0.724157467,1.506024248,3.407920353,0.720637348
85,55113.82486,13758.5558,1966961,5501.52913,214.2991669,-17570,1,0,0,0.231207063,1,0,0.617704424,0.780462441,0.915676132,1.775038049,0.724395609,1.442406432,3.410555578,0.799170686
86,59807.90413,15916.42661,2138785,4694.079265,2157.870809,171824,0.766032574,0,0.779659859,0.236714797,0,0,0,0.78037036,0.915179593,1.651775034,0.784816209,1.442631192,3.415594603,0.80366389
87,57116.05116,11263.98599,2131352,-2691.852969,-4652.440616,-7433,0,1,1,0.232515347,0,0,0.126278878,0.779774851,0.69,1.650905326,0.781796973,1.442437584,3.408398378,0.800492802
88,48004.47471,11950.11963,1993190,-9111.576449,686.1336365,-138162,0,0.929137474,1,0.231447977,0,0,0,0.898719275,0.69,1.651617312,0.789980656,1.506835876,3.41151313,0.802362181
89,36056.52549,10400.03345,2155019,-11947.94922,-1550.086177,161829,0,0,1,0.769123352,0,0,0,0.893414721,0.834344349,1.649110471,0.78845667,1.501760475,3.399620225,0.797433623
90,46198.12378,13540.03058,2118256,10141.59829,3139.997127,-36763,0,0.146460785,1,0,0,0,0,0.898970756,0.836360481,1.650702092,0.791414629,1.504765384,3.408528271,0.802398304
91,39784.34228,9646.482649,2059015,-6413.781497,-3893.547926,-59241,0,0,0,0,0,0,0,0.765718823,0.834356181,1.774241834,0.789913612,1.504714522,3.408209108,0.676207668
92,48604.5324,11712.3763,1998690,8820.190125,2065.893655,-60325,0.767702258,0,0,0,1,0,0,0.767118584,0.837605462,1.775038049,0.829621554,1.368862014,3.40957561,0.679633239
93,59751.66686,11459.83568,2013834,11147.13446,-252.5406226,15144,0,0,0,0.175736464,0.779589147,0,0,0.639269206,0.824931033,1.774629614,0.751009893,1.368748487,3.407836546,0.677690832
94,54308.29334,9560.241251,2139472,-5443.373524,-1899.59443,125638,0.180787693,0.147192866,0,0.764574718,0.780398899,0,0,0.642533497,0.771265814,1.775038049,0.753102187,1.368862014,3.4088882,0.679633239
95,39773.32033,7487.054721,1949677,-14534.97301,-2073.18653,-189795,0.769519644,0.113795162,0,0,0,0,0,0.64856815,0.772848804,1.775536037,0.829227131,1.369264338,3.408877373,0.655778944
96,43732.71559,10125.99717,2032719,3959.39526,2638.942452,83042,0,0,0,0.177994511,0,0,0.765337541,0.764794965,0.831974691,1.773479145,0.822023658,1.504206776,3.407429658,0.529873828
97,50624.52398,11896.10335,1980400,6891.808382,1770.106177,-52319,0,0,0,0.583710731,0,0,0.263741312,0.758860631,0.83209919,1.772100413,0.751300726,1.502537125,3.397657063,0.534169671
98,44491.84035,10556.83021,2096034,-6132.683621,-1339.273137,115634,0,0,0,0.178601284,0,0,0,0.7635889,0.83209919,1.772100413,0.753480459,1.518989207,3.398109321,0.676262749
